"","Zipcode","City","State","Lat","Long","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"13244",56212,"BELLINGHAM","MN",45.13,-96.28,284,490,5359092
"13245",56214,"BELVIEW","MN",44.6,-95.32,384,650,8158600
"13246",56601,"BEMIDJI","MN",47.48,-94.87,13247,22996,428279604
"13247",56619,"BEMIDJI","MN",47.48,-94.87,648,1066,20763849
"13251",56215,"BENSON","MN",45.31,-95.6,2239,3906,68320518
"13252",56437,"BERTHA","MN",46.26,-95.06,516,947,12401631
"13253",55005,"BETHEL","MN",45.4,-93.26,1968,3718,95544773
"13256",56628,"BIGFORK","MN",47.74,-93.65,715,1246,16176686
"13258",55309,"BIG LAKE","MN",45.33,-93.74,7916,15038,376377935
"13260",55310,"BIRD ISLAND","MN",44.76,-94.89,804,1371,22825433
"13261",55708,"BIWABIK","MN",47.53,-92.35,467,755,12011416
"13262",56630,"BLACKDUCK","MN",47.72,-94.54,1066,1927,26450578
"13264",56216,"BLOMKEST","MN",44.94,-95.02,350,636,10072636
"13265",55917,"BLOOMING PRAIRIE","MN",43.86,-93.05,1823,3275,58918136
"13266",56013,"BLUE EARTH","MN",43.63,-94.09,2278,3946,61479686
"13268",55709,"BOVEY","MN",47.29,-93.4,1764,3212,56893247
"13269",56314,"BOWLUS","MN",45.82,-94.4,587,1053,18449960
"13270",56218,"BOYD","MN",44.85,-95.9,299,509,6853052
"13271",55006,"BRAHAM","MN",45.72,-93.17,1751,3121,56710002
"13272",56401,"BRAINERD","MN",46.35,-94.19,13608,23511,407259205
"13273",56425,"BAXTER","MN",46.34,-94.28,3510,6468,139021777
"13274",56315,"BRANDON","MN",45.96,-95.59,745,1355,23203616
"13275",56119,"BREWSTER","MN",43.69,-95.46,513,917,13452738
"13276",56014,"BRICELYN","MN",43.56,-93.81,395,697,8518763
"13278",55007,"BROOK PARK","MN",45.94,-93.07,1100,1954,31848050
"13280",56316,"BROOTEN","MN",45.5,-95.11,658,1173,18207847
"13281",56438,"BROWERVILLE","MN",46.08,-94.86,1361,2416,40252970
"13282",55918,"BROWNSDALE","MN",43.74,-92.86,507,889,16548040
"13283",56219,"BROWNS VALLEY","MN",45.59,-96.83,527,881,10749666
"13284",55919,"BROWNSVILLE","MN",43.69,-91.28,486,861,15789988
"13285",55312,"BROWNTON","MN",44.73,-94.35,782,1419,24015042
"13287",55313,"BUFFALO","MN",45.17,-93.86,10653,19513,478223021
"13288",55314,"BUFFALO LAKE","MN",44.73,-94.61,587,1068,17665480
"13289",55713,"BUHL","MN",47.49,-92.76,465,776,14124122
"13290",56318,"BURTRUM","MN",45.86,-94.68,566,1013,16927520
"13291",56120,"BUTTERFIELD","MN",43.95,-94.79,500,898,12428659
"13292",55920,"BYRON","MN",44.03,-92.64,3401,6356,168969263
"13293",55921,"CALEDONIA","MN",43.63,-91.5,2403,4193,72902017
"13295",55008,"CAMBRIDGE","MN",45.56,-93.22,6803,12059,255795491
"13296",56220,"CANBY","MN",44.71,-96.26,1453,2568,37143402
"13297",55009,"CANNON FALLS","MN",44.51,-92.9,3996,7157,166413339
"13298",55922,"CANTON","MN",43.53,-91.92,282,517,7509959
"13299",56319,"CARLOS","MN",45.97,-95.29,638,1175,23111895
"13300",55718,"CARLTON","MN",46.66,-92.42,1498,2685,53105677
"13301",55315,"CARVER","MN",44.76,-93.62,1996,3984,130045198
"13302",56633,"CASS LAKE","MN",47.37,-94.6,1942,3423,43357721
"13304",55011,"CEDAR","MN",45.34,-93.24,4824,9021,232680043
"13306",55012,"CENTER CITY","MN",45.39,-92.81,937,1720,40798861
"13307",56121,"CEYLON","MN",43.53,-94.63,293,554,7692477
"13308",55316,"CHAMPLIN","MN",45.16,-93.38,11573,20946,614760299
"13309",56122,"CHANDLER","MN",43.92,-95.94,260,505,6236613
"13310",55317,"CHANHASSEN","MN",44.85,-93.55,9307,17368,789350478
"13311",55318,"CHASKA","MN",44.82,-93.6,11892,21769,704098401
"13312",55923,"CHATFIELD","MN",43.84,-92.18,2064,3817,81700335
"13313",55013,"CHISAGO CITY","MN",45.37,-92.88,3069,5532,137658450
"13314",55719,"CHISHOLM","MN",47.48,-92.87,2742,4623,83705013
"13315",56221,"CHOKIO","MN",45.57,-96.17,401,706,10317258
"13316",55014,"CIRCLE PINES","MN",45.13,-93.15,12973,23573,684185741
"13317",56222,"CLARA CITY","MN",44.95,-95.36,967,1724,25418961
"13318",55924,"CLAREMONT","MN",44.04,-92.99,663,1176,22554979
